

*************************************************************************************** 


AST: 

NodeSymbol			Lexeme			Line No			Node Token			ValueIfNumber			Parent			isleaf
lvalueARRStmt 			 ---- 			 68 			 SQBO 			 ---- 			 assignmentStmt 			 No
index 			 ---- 			 68 			 SQBO 			 ---- 			 lvalueARRStmt 			 No
---- 			 NUM 			 68 			 NUM 			 12 			 index 			 Yes
expression 			 ---- 			 68 			 SQBO 			 ---- 			 lvalueARRStmt 			 No
---- 			 MUL 			 68 			 MUL 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 68 			 ID 			 ---- 			 MUL 			 No
ID 			 k 			 68 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 68 			 NUM 			 20 			 MUL 			 No
---- 			 NUM 			 68 			 NUM 			 20 			 var_id_num 			 Yes
---- 			 BREAK 			 64 			 CASE 			 ---- 			 caseStmts 			 Yes
---- 			 CASE 			 70 			 CASE 			 ---- 			 caseStmts 			 Yes
value 			 ---- 			 70 			 CASE 			 ---- 			 caseStmts 			 No
---- 			 NUM 			 70 			 NUM 			 20 			 value 			 Yes
statements 			 ---- 			 70 			 CASE 			 ---- 			 caseStmts 			 No
assignmentStmt 			 ---- 			 70 			 ID 			 ---- 			 statements 			 No
ID 			 A 			 70 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 70 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 70 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 PLUS 			 70 			 PLUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 70 			 RNUM 			 12.90 			 PLUS 			 No
---- 			 RNUM 			 70 			 RNUM 			 12.90 			 var_id_num 			 Yes
var_id_num 			 ---- 			 70 			 ID 			 ---- 			 PLUS 			 No
ID 			 p 			 70 			 ID 			 ---- 			 var_id_num 			 Yes
ioStmt 			 ---- 			 71 			 GET_VALUE 			 ---- 			 statements 			 No
---- 			 GET_VALUE 			 71 			 GET_VALUE 			 ---- 			 ioStmt 			 Yes
ID 			 Q 			 71 			 ID 			 ---- 			 ioStmt 			 Yes
iterativeStmt 			 ---- 			 72 			 FOR 			 ---- 			 statements 			 No
---- 			 FOR 			 72 			 FOR 			 ---- 			 iterativeStmt 			 Yes
ID 			 m 			 72 			 ID 			 ---- 			 iterativeStmt 			 Yes
range 			 ---- 			 72 			 FOR 			 ---- 			 iterativeStmt 			 No
---- 			 NUM 			 72 			 NUM 			 10 			 range 			 Yes
---- 			 NUM 			 72 			 NUM 			 10 			 range 			 Yes
statements 			 ---- 			 72 			 FOR 			 ---- 			 iterativeStmt 			 No
assignmentStmt 			 ---- 			 74 			 ID 			 ---- 			 statements 			 No
ID 			 n 			 74 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 74 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 74 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 PLUS 			 74 			 PLUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 74 			 ID 			 ---- 			 PLUS 			 No
